"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","HHSAV","TOT","PC_HHDI","A","2011",8.34967775438769,
"BEL","HHSAV","TOT","PC_HHDI","A","2012",7.86810855002538,
"BEL","HHSAV","TOT","PC_HHDI","A","2013",6.57913642488806,
"BEL","HHSAV","TOT","PC_HHDI","A","2014",6.40555612582685,
"BEL","HHSAV","TOT","PC_HHDI","A","2015",5.52605837659284,
"BEL","HHSAV","TOT","PC_HHDI","A","2016",5.41460568117549,
"BEL","HHSAV","TOT","PC_HHDI","A","2017",5.20785626174654,
"BEL","HHSAV","TOT","PC_HHDI","A","2018",4.83995242994347,
"DNK","HHSAV","TOT","PC_HHDI","A","2000",-5.69394234805096,
"DNK","HHSAV","TOT","PC_HHDI","A","2001",0.353706451643008,
"DNK","HHSAV","TOT","PC_HHDI","A","2002",1.41226024194005,
"DNK","HHSAV","TOT","PC_HHDI","A","2003",2.18458283978477,
"DNK","HHSAV","TOT","PC_HHDI","A","2004",-1.9064146898567,
"DNK","HHSAV","TOT","PC_HHDI","A","2005",-4.2727235207528,
"DNK","HHSAV","TOT","PC_HHDI","A","2006",-1.52567575825474,
"DNK","HHSAV","TOT","PC_HHDI","A","2007",-3.0338951750161,
"DNK","HHSAV","TOT","PC_HHDI","A","2008",-4.09924316599746,
"DNK","HHSAV","TOT","PC_HHDI","A","2009",0.65682460998064,
"DNK","HHSAV","TOT","PC_HHDI","A","2010",1.83706415835001,
"DNK","HHSAV","TOT","PC_HHDI","A","2011",0.79963499067298,
"DNK","HHSAV","TOT","PC_HHDI","A","2012",0.122214384216133,
"DNK","HHSAV","TOT","PC_HHDI","A","2013",2.33988684162496,
"DNK","HHSAV","TOT","PC_HHDI","A","2014",-2.89805753605089,
"DNK","HHSAV","TOT","PC_HHDI","A","2015",3.90863198381378,
"DNK","HHSAV","TOT","PC_HHDI","A","2016",4.48545560594606,
"DNK","HHSAV","TOT","PC_HHDI","A","2017",6.19794812680115,
"DNK","HHSAV","TOT","PC_HHDI","A","2018",6.57212567523975,
"FIN","HHSAV","TOT","PC_HHDI","A","2000",2.63491826528327,
"FIN","HHSAV","TOT","PC_HHDI","A","2001",1.88458520579214,
"FIN","HHSAV","TOT","PC_HHDI","A","2002",2.01310157136801,
"FIN","HHSAV","TOT","PC_HHDI","A","2003",1.52645817269365,
"FIN","HHSAV","TOT","PC_HHDI","A","2004",2.45377398402309,
"FIN","HHSAV","TOT","PC_HHDI","A","2005",0.508738620320335,
"FIN","HHSAV","TOT","PC_HHDI","A","2006",-1.02983954208501,
"FIN","HHSAV","TOT","PC_HHDI","A","2007",-0.703710270845339,
"FIN","HHSAV","TOT","PC_HHDI","A","2008",-0.40659352174961,
"FIN","HHSAV","TOT","PC_HHDI","A","2009",3.29088348741811,
"FIN","HHSAV","TOT","PC_HHDI","A","2010",3.26677347504982,
"FIN","HHSAV","TOT","PC_HHDI","A","2011",1.05282947922542,
"FIN","HHSAV","TOT","PC_HHDI","A","2012",0.35219987342817,
"FIN","HHSAV","TOT","PC_HHDI","A","2013",0.94750686696431,
"FIN","HHSAV","TOT","PC_HHDI","A","2014",-0.002659574468085,
"FIN","HHSAV","TOT","PC_HHDI","A","2015",-0.451939939101529,
"FIN","HHSAV","TOT","PC_HHDI","A","2016",-1.34741067293343,
"FIN","HHSAV","TOT","PC_HHDI","A","2017",-1.10825935120125,
"FIN","HHSAV","TOT","PC_HHDI","A","2018",-1.17933786966763,
"FRA","HHSAV","TOT","PC_HHDI","A","2000",8.67369758635164,
"FRA","HHSAV","TOT","PC_HHDI","A","2001",9.37004316562427,
"FRA","HHSAV","TOT","PC_HHDI","A","2002",10.3908705553662,
"FRA","HHSAV","TOT","PC_HHDI","A","2003",9.59870818067074,
"FRA","HHSAV","TOT","PC_HHDI","A","2004",9.64876657288932,
"FRA","HHSAV","TOT","PC_HHDI","A","2005",8.50187080402661,
"FRA","HHSAV","TOT","PC_HHDI","A","2006",9.04619142592186,
"FRA","HHSAV","TOT","PC_HHDI","A","2007",9.43227066733218,
"FRA","HHSAV","TOT","PC_HHDI","A","2008",9.25110721597067,
"FRA","HHSAV","TOT","PC_HHDI","A","2009",10.5942921936619,
"FRA","HHSAV","TOT","PC_HHDI","A","2010",10.4531314479273,
"FRA","HHSAV","TOT","PC_HHDI","A","2011",9.94334367788653,
"FRA","HHSAV","TOT","PC_HHDI","A","2012",9.99733843178511,
"FRA","HHSAV","TOT","PC_HHDI","A","2013",8.5215837152381,
"FRA","HHSAV","TOT","PC_HHDI","A","2014",8.85563975396751,
"FRA","HHSAV","TOT","PC_HHDI","A","2015",8.3280675806316,
"FRA","HHSAV","TOT","PC_HHDI","A","2016",8.18294459978975,
"FRA","HHSAV","TOT","PC_HHDI","A","2017",8.12688450032761,"E"
"FRA","HHSAV","TOT","PC_HHDI","A","2018",8.37860228544106,"E"
"DEU","HHSAV","TOT","PC_HHDI","A","2000",9.33163308160445,
"DEU","HHSAV","TOT","PC_HHDI","A","2001",9.99270669619207,
"DEU","HHSAV","TOT","PC_HHDI","A","2002",10.0837320574163,
"DEU","HHSAV","TOT","PC_HHDI","A","2003",10.5513567411565,
"DEU","HHSAV","TOT","PC_HHDI","A","2004",10.6239696490175,
"DEU","HHSAV","TOT","PC_HHDI","A","2005",10.5626193769689,
"DEU","HHSAV","TOT","PC_HHDI","A","2006",10.6363652267293,
"DEU","HHSAV","TOT","PC_HHDI","A","2007",10.6952260899198,
"DEU","HHSAV","TOT","PC_HHDI","A","2008",10.9116352710505,
"DEU","HHSAV","TOT","PC_HHDI","A","2009",10.3742511373752,
"DEU","HHSAV","TOT","PC_HHDI","A","2010",10.3066264364387,
"DEU","HHSAV","TOT","PC_HHDI","A","2011",10.0205149624097,
"DEU","HHSAV","TOT","PC_HHDI","A","2012",9.65167700195517,
"DEU","HHSAV","TOT","PC_HHDI","A","2013",9.2887985460507,
"DEU","HHSAV","TOT","PC_HHDI","A","2014",9.83605706754546,
"DEU","HHSAV","TOT","PC_HHDI","A","2015",10.0616952353047,
"DEU","HHSAV","TOT","PC_HHDI","A","2016",10.1535691665745,
"DEU","HHSAV","TOT","PC_HHDI","A","2017",10.4224644321603,
"DEU","HHSAV","TOT","PC_HHDI","A","2018",10.9533845614096,
"GRC","HHSAV","TOT","PC_HHDI","A","2000",-1.42662465293969,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2001",-1.79998028610061,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2002",-2.01106236801461,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2003",0.930502498981779,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2004",1.15478206613015,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2005",-2.86199733941397,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2006",-0.053989702565591,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2007",-1.22884233992191,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2008",-3.84109743538045,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2009",-1.1252249780706,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2010",-6.90053518319165,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2011",-8.86342819299731,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2012",-10.9164374621667,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2013",-16.3934772485513,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2014",-13.8078263751775,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2015",-15.4660959199309,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2016",-16.9969731700776,"E"
"GRC","HHSAV","TOT","PC_HHDI","A","2017",-16.9124792091076,"E"
"HUN","HHSAV","TOT","PC_HHDI","A","2000",4.5000510283026,
"HUN","HHSAV","TOT","PC_HHDI","A","2001",5.28199729076913,
"HUN","HHSAV","TOT","PC_HHDI","A","2002",2.85921589093725,
"HUN","HHSAV","TOT","PC_HHDI","A","2003",1.49872183167079,
"HUN","HHSAV","TOT","PC_HHDI","A","2004",5.73523868777425,
"HUN","HHSAV","TOT","PC_HHDI","A","2005",7.46008550515391,
"HUN","HHSAV","TOT","PC_HHDI","A","2006",8.01657902437727,
"HUN","HHSAV","TOT","PC_HHDI","A","2007",3.7407275665867,
"HUN","HHSAV","TOT","PC_HHDI","A","2008",3.28943156905877,
"HUN","HHSAV","TOT","PC_HHDI","A","2009",5.56875097862142,
"HUN","HHSAV","TOT","PC_HHDI","A","2010",5.9470945216995,
"HUN","HHSAV","TOT","PC_HHDI","A","2011",6.62322064969597,
"HUN","HHSAV","TOT","PC_HHDI","A","2012",4.96917488485138,
"HUN","HHSAV","TOT","PC_HHDI","A","2013",6.84764240745345,
"HUN","HHSAV","TOT","PC_HHDI","A","2014",7.46122207753112,
"HUN","HHSAV","TOT","PC_HHDI","A","2015",7.29216092591449,
"HUN","HHSAV","TOT","PC_HHDI","A","2016",7.02223131603299,
"HUN","HHSAV","TOT","PC_HHDI","A","2017",6.64144130289979,
"HUN","HHSAV","TOT","PC_HHDI","A","2018",6.88844883553673,
"IRL","HHSAV","TOT","PC_HHDI","A","2000",-3.89079437960575,
"IRL","HHSAV","TOT","PC_HHDI","A","2001",1.11784203670766,
"IRL","HHSAV","TOT","PC_HHDI","A","2002",-0.569490238885928,
"IRL","HHSAV","TOT","PC_HHDI","A","2003",0.20427868322344,
"IRL","HHSAV","TOT","PC_HHDI","A","2004",0.934972317618744,
"IRL","HHSAV","TOT","PC_HHDI","A","2005",1.54042793676591,
"IRL","HHSAV","TOT","PC_HHDI","A","2006",-0.689359391671044,
"IRL","HHSAV","TOT","PC_HHDI","A","2007",-0.965899056872928,
"IRL","HHSAV","TOT","PC_HHDI","A","2008",4.78027557704559,
"IRL","HHSAV","TOT","PC_HHDI","A","2009",9.59614397047095,
"IRL","HHSAV","TOT","PC_HHDI","A","2010",8.2360331980686,
"IRL","HHSAV","TOT","PC_HHDI","A","2011",4.24613310025916,
"IRL","HHSAV","TOT","PC_HHDI","A","2012",6.97571983986472,
"IRL","HHSAV","TOT","PC_HHDI","A","2013",5.22366010730674,
"IRL","HHSAV","TOT","PC_HHDI","A","2014",3.61338275166401,
"IRL","HHSAV","TOT","PC_HHDI","A","2015",4.21316865037134,
"IRL","HHSAV","TOT","PC_HHDI","A","2016",3.78789825445714,
"IRL","HHSAV","TOT","PC_HHDI","A","2017",6.6012970626266,
"ITA","HHSAV","TOT","PC_HHDI","A","2000",7.36349881537993,
"ITA","HHSAV","TOT","PC_HHDI","A","2001",8.82881688756247,
"ITA","HHSAV","TOT","PC_HHDI","A","2002",9.57198316648502,
"ITA","HHSAV","TOT","PC_HHDI","A","2003",9.07514677391575,
"ITA","HHSAV","TOT","PC_HHDI","A","2004",9.48795000924976,
"ITA","HHSAV","TOT","PC_HHDI","A","2005",8.90419966465364,
"ITA","HHSAV","TOT","PC_HHDI","A","2006",8.30486287835902,
"ITA","HHSAV","TOT","PC_HHDI","A","2007",7.81496967455893,
"ITA","HHSAV","TOT","PC_HHDI","A","2008",7.38185424655532,
"ITA","HHSAV","TOT","PC_HHDI","A","2009",6.75978520347096,
"ITA","HHSAV","TOT","PC_HHDI","A","2010",3.93452869168328,
"ITA","HHSAV","TOT","PC_HHDI","A","2011",3.40733016694293,
"ITA","HHSAV","TOT","PC_HHDI","A","2012",1.47348924580735,
"ITA","HHSAV","TOT","PC_HHDI","A","2013",3.29319594165826,
"ITA","HHSAV","TOT","PC_HHDI","A","2014",3.69116202333907,
"ITA","HHSAV","TOT","PC_HHDI","A","2015",2.88627551231221,
"ITA","HHSAV","TOT","PC_HHDI","A","2016",3.00965548052122,
"ITA","HHSAV","TOT","PC_HHDI","A","2017",2.5373522018434,
"ITA","HHSAV","TOT","PC_HHDI","A","2018",2.45136777377666,
"JPN","HHSAV","TOT","PC_HHDI","A","2000",8.85163157559952,
"JPN","HHSAV","TOT","PC_HHDI","A","2001",5.56350881046326,
"JPN","HHSAV","TOT","PC_HHDI","A","2002",4.90586540456714,
"JPN","HHSAV","TOT","PC_HHDI","A","2003",4.39627173889521,
"JPN","HHSAV","TOT","PC_HHDI","A","2004",3.76592714523481,
"JPN","HHSAV","TOT","PC_HHDI","A","2005",3.66310267334195,
"JPN","HHSAV","TOT","PC_HHDI","A","2006",2.73516651151974,
"JPN","HHSAV","TOT","PC_HHDI","A","2007",2.76125933186353,
"JPN","HHSAV","TOT","PC_HHDI","A","2008",2.74699893202305,
"JPN","HHSAV","TOT","PC_HHDI","A","2009",4.21024633903987,
"JPN","HHSAV","TOT","PC_HHDI","A","2010",3.92781598708915,
"JPN","HHSAV","TOT","PC_HHDI","A","2011",4.21211983306251,
"JPN","HHSAV","TOT","PC_HHDI","A","2012",2.93753916886101,
"JPN","HHSAV","TOT","PC_HHDI","A","2013",0.649770991139365,
"JPN","HHSAV","TOT","PC_HHDI","A","2014",0.076253978359854,
"JPN","HHSAV","TOT","PC_HHDI","A","2015",1.41680582319229,
"JPN","HHSAV","TOT","PC_HHDI","A","2016",3.10586876432637,
"JPN","HHSAV","TOT","PC_HHDI","A","2017",2.74955641167183,
"KOR","HHSAV","TOT","PC_HHDI","A","2005",6.71858529760418,
"KOR","HHSAV","TOT","PC_HHDI","A","2006",5.46954803598449,
"KOR","HHSAV","TOT","PC_HHDI","A","2007",3.54969071000345,
"KOR","HHSAV","TOT","PC_HHDI","A","2008",3.75719531448799,
"KOR","HHSAV","TOT","PC_HHDI","A","2009",4.83283828644186,
"KOR","HHSAV","TOT","PC_HHDI","A","2010",4.6627911642858,
"KOR","HHSAV","TOT","PC_HHDI","A","2011",3.86203067649061,
"KOR","HHSAV","TOT","PC_HHDI","A","2012",3.89502654378801,
"KOR","HHSAV","TOT","PC_HHDI","A","2013",5.59592539665471,
"KOR","HHSAV","TOT","PC_HHDI","A","2014",7.18013463209897,
"LUX","HHSAV","TOT","PC_HHDI","A","2000",9.32416671781966,
"LUX","HHSAV","TOT","PC_HHDI","A","2001",10.7856955393334,
"LUX","HHSAV","TOT","PC_HHDI","A","2002",11.7148963415184,
"LUX","HHSAV","TOT","PC_HHDI","A","2003",10.8946177258656,
"LUX","HHSAV","TOT","PC_HHDI","A","2004",11.5335305306731,
"LUX","HHSAV","TOT","PC_HHDI","A","2005",10.6867852813002,
"LUX","HHSAV","TOT","PC_HHDI","A","2006",9.61901080087417,
"LUX","HHSAV","TOT","PC_HHDI","A","2007",11.2494626524955,
"LUX","HHSAV","TOT","PC_HHDI","A","2008",11.5553013290397,
"LUX","HHSAV","TOT","PC_HHDI","A","2009",12.3558981463067,
"LUX","HHSAV","TOT","PC_HHDI","A","2010",15.2982405481142,
"LUX","HHSAV","TOT","PC_HHDI","A","2011",13.0540953898749,
"LUX","HHSAV","TOT","PC_HHDI","A","2012",14.448369202384,
"LUX","HHSAV","TOT","PC_HHDI","A","2013",14.5799882056881,
"LUX","HHSAV","TOT","PC_HHDI","A","2014",15.187471120206,
"LUX","HHSAV","TOT","PC_HHDI","A","2015",15.0957866910349,
"LUX","HHSAV","TOT","PC_HHDI","A","2016",13.7151040224867,
"LUX","HHSAV","TOT","PC_HHDI","A","2017",16.0958239878256,
"LUX","HHSAV","TOT","PC_HHDI","A","2018",16.0430782868648,
"MEX","HHSAV","TOT","PC_HHDI","A","2003",5.10430071252751,
"MEX","HHSAV","TOT","PC_HHDI","A","2004",5.84601226307027,
"MEX","HHSAV","TOT","PC_HHDI","A","2005",5.98181302026398,
"MEX","HHSAV","TOT","PC_HHDI","A","2006",7.75094959625711,
"MEX","HHSAV","TOT","PC_HHDI","A","2007",6.8786971318492,
"MEX","HHSAV","TOT","PC_HHDI","A","2008",7.04241188285586,
"MEX","HHSAV","TOT","PC_HHDI","A","2009",15.0696818836637,
"MEX","HHSAV","TOT","PC_HHDI","A","2010",14.5374938166612,
"MEX","HHSAV","TOT","PC_HHDI","A","2011",15.7501255601224,
"MEX","HHSAV","TOT","PC_HHDI","A","2012",14.6483893644245,
"MEX","HHSAV","TOT","PC_HHDI","A","2013",12.2289455798192,
"MEX","HHSAV","TOT","PC_HHDI","A","2014",14.0611648681146,
"MEX","HHSAV","TOT","PC_HHDI","A","2015",15.14903448176,
"MEX","HHSAV","TOT","PC_HHDI","A","2016",15.4481611725033,
"NLD","HHSAV","TOT","PC_HHDI","A","2000",4.00850647268308,
"NLD","HHSAV","TOT","PC_HHDI","A","2001",5.01587402248919,
"NLD","HHSAV","TOT","PC_HHDI","A","2002",5.13105765628725,
"NLD","HHSAV","TOT","PC_HHDI","A","2003",4.65320521885397,
"NLD","HHSAV","TOT","PC_HHDI","A","2004",4.27348863756938,
"NLD","HHSAV","TOT","PC_HHDI","A","2005",2.4885671699167,
"NLD","HHSAV","TOT","PC_HHDI","A","2006",1.79334844995319,
"NLD","HHSAV","TOT","PC_HHDI","A","2007",1.75447009659519,
"NLD","HHSAV","TOT","PC_HHDI","A","2008",3.62900332074192,
"NLD","HHSAV","TOT","PC_HHDI","A","2009",7.49273470075391,
"NLD","HHSAV","TOT","PC_HHDI","A","2010",5.74132717291145,
"NLD","HHSAV","TOT","PC_HHDI","A","2011",6.6351486098398,
"NLD","HHSAV","TOT","PC_HHDI","A","2012",8.29622497693264,
"NLD","HHSAV","TOT","PC_HHDI","A","2013",8.55213095593204,
"NLD","HHSAV","TOT","PC_HHDI","A","2014",9.86351125950637,
"NLD","HHSAV","TOT","PC_HHDI","A","2015",9.5484347853923,
"NLD","HHSAV","TOT","PC_HHDI","A","2016",10.2536142371553,
"NLD","HHSAV","TOT","PC_HHDI","A","2017",8.78682895422632,
"NLD","HHSAV","TOT","PC_HHDI","A","2018",8.3985889233163,"E"
"NZL","HHSAV","TOT","PC_HHDI","A","2000",-2.51243853472606,
"NZL","HHSAV","TOT","PC_HHDI","A","2001",-1.34470453700004,
"NZL","HHSAV","TOT","PC_HHDI","A","2002",-6.3570249287069,
"NZL","HHSAV","TOT","PC_HHDI","A","2003",-3.94935561820379,
"NZL","HHSAV","TOT","PC_HHDI","A","2004",-3.53972016920002,
"NZL","HHSAV","TOT","PC_HHDI","A","2005",-5.51188106701656,
"NZL","HHSAV","TOT","PC_HHDI","A","2006",-3.61304642703003,
"NZL","HHSAV","TOT","PC_HHDI","A","2007",0.022317069768739,
"NZL","HHSAV","TOT","PC_HHDI","A","2008",-1.86220760233918,
"NZL","HHSAV","TOT","PC_HHDI","A","2009",1.38085463705915,
"NZL","HHSAV","TOT","PC_HHDI","A","2010",1.99425384485381,
"NZL","HHSAV","TOT","PC_HHDI","A","2011",2.39967215105337,
"NZL","HHSAV","TOT","PC_HHDI","A","2012",0.838795815072678,
"NZL","HHSAV","TOT","PC_HHDI","A","2013",0.608020420308456,
"NZL","HHSAV","TOT","PC_HHDI","A","2014",-0.631374453618261,
"NZL","HHSAV","TOT","PC_HHDI","A","2015",-0.285586851022188,
"NZL","HHSAV","TOT","PC_HHDI","A","2016",0.281008170852968,
"NZL","HHSAV","TOT","PC_HHDI","A","2017",-1.38124560595408,"E"
"NOR","HHSAV","TOT","PC_HHDI","A","2000",4.30386636243746,
"NOR","HHSAV","TOT","PC_HHDI","A","2001",3.09090829908588,
"NOR","HHSAV","TOT","PC_HHDI","A","2002",8.20873540001525,
"NOR","HHSAV","TOT","PC_HHDI","A","2003",8.80146654174633,
"NOR","HHSAV","TOT","PC_HHDI","A","2004",6.93261553279852,
"NOR","HHSAV","TOT","PC_HHDI","A","2005",9.68982811510932,
"NOR","HHSAV","TOT","PC_HHDI","A","2006",-0.424791713578023,
"NOR","HHSAV","TOT","PC_HHDI","A","2007",0.939591444854844,
"NOR","HHSAV","TOT","PC_HHDI","A","2008",3.75815705001837,
"NOR","HHSAV","TOT","PC_HHDI","A","2009",5.22172757481221,
"NOR","HHSAV","TOT","PC_HHDI","A","2010",4.01956058431021,
"NOR","HHSAV","TOT","PC_HHDI","A","2011",5.87246483039183,
"NOR","HHSAV","TOT","PC_HHDI","A","2012",7.12328334524152,
"NOR","HHSAV","TOT","PC_HHDI","A","2013",7.41511614737677,
"NOR","HHSAV","TOT","PC_HHDI","A","2014",8.20688746157107,
"NOR","HHSAV","TOT","PC_HHDI","A","2015",10.3378319305022,
"NOR","HHSAV","TOT","PC_HHDI","A","2016",7.25151490477179,
"NOR","HHSAV","TOT","PC_HHDI","A","2017",6.72469422405254,
"NOR","HHSAV","TOT","PC_HHDI","A","2018",6.51500283889413,
"POL","HHSAV","TOT","PC_HHDI","A","2000",10.9560965557294,
"POL","HHSAV","TOT","PC_HHDI","A","2001",12.2828892451374,
"POL","HHSAV","TOT","PC_HHDI","A","2002",8.86840771693499,
"POL","HHSAV","TOT","PC_HHDI","A","2003",7.82068518695691,
"POL","HHSAV","TOT","PC_HHDI","A","2004",2.72931368344445,
"POL","HHSAV","TOT","PC_HHDI","A","2005",2.1655634550952,
"POL","HHSAV","TOT","PC_HHDI","A","2006",2.03169088587404,
"POL","HHSAV","TOT","PC_HHDI","A","2007",2.05095192439392,
"POL","HHSAV","TOT","PC_HHDI","A","2008",0.296018370957825,
"POL","HHSAV","TOT","PC_HHDI","A","2009",2.82077616774222,
"POL","HHSAV","TOT","PC_HHDI","A","2010",2.3821905094162,
"POL","HHSAV","TOT","PC_HHDI","A","2011",-1.08871928529967,
"POL","HHSAV","TOT","PC_HHDI","A","2012",-1.10747667793307,
"POL","HHSAV","TOT","PC_HHDI","A","2013",-0.069176237863188,
"POL","HHSAV","TOT","PC_HHDI","A","2014",-0.363107288679042,
"POL","HHSAV","TOT","PC_HHDI","A","2015",-0.444387553327462,
"POL","HHSAV","TOT","PC_HHDI","A","2016",1.46074221349435,
"POL","HHSAV","TOT","PC_HHDI","A","2017",-0.850061361586781,"E"
"PRT","HHSAV","TOT","PC_HHDI","A","2000",6.08353163473617,
"PRT","HHSAV","TOT","PC_HHDI","A","2001",6.38331816187255,
"PRT","HHSAV","TOT","PC_HHDI","A","2002",6.21946347963726,
"PRT","HHSAV","TOT","PC_HHDI","A","2003",5.61122172139326,
"PRT","HHSAV","TOT","PC_HHDI","A","2004",4.07102849512569,
"PRT","HHSAV","TOT","PC_HHDI","A","2005",2.76420371094835,
"PRT","HHSAV","TOT","PC_HHDI","A","2006",0.835053617769783,
"PRT","HHSAV","TOT","PC_HHDI","A","2007",-0.39922291804216,
"PRT","HHSAV","TOT","PC_HHDI","A","2008",-0.869490690387154,
"PRT","HHSAV","TOT","PC_HHDI","A","2009",4.06774259251874,
"PRT","HHSAV","TOT","PC_HHDI","A","2010",1.57231144372316,
"PRT","HHSAV","TOT","PC_HHDI","A","2011",0.607412319913274,
"PRT","HHSAV","TOT","PC_HHDI","A","2012",2.06846263787415,
"PRT","HHSAV","TOT","PC_HHDI","A","2013",1.64529912532667,
"PRT","HHSAV","TOT","PC_HHDI","A","2014",-1.41759032276979,
"PRT","HHSAV","TOT","PC_HHDI","A","2015",-1.19186938909014,
"PRT","HHSAV","TOT","PC_HHDI","A","2016",-1.30554464616626,
"PRT","HHSAV","TOT","PC_HHDI","A","2017",-2.24142170232875,
"PRT","HHSAV","TOT","PC_HHDI","A","2018",-2.41885605023103,"E"
"SVK","HHSAV","TOT","PC_HHDI","A","2000",5.84411451821708,
"SVK","HHSAV","TOT","PC_HHDI","A","2001",3.68590012850465,
"SVK","HHSAV","TOT","PC_HHDI","A","2002",3.35274082333334,
"SVK","HHSAV","TOT","PC_HHDI","A","2003",1.0711397256749,
"SVK","HHSAV","TOT","PC_HHDI","A","2004",0.339666445360535,
"SVK","HHSAV","TOT","PC_HHDI","A","2005",1.09533562877966,
"SVK","HHSAV","TOT","PC_HHDI","A","2006",0.132282212392577,
"SVK","HHSAV","TOT","PC_HHDI","A","2007",1.89828948366497,
"SVK","HHSAV","TOT","PC_HHDI","A","2008",0.779086992926158,
"SVK","HHSAV","TOT","PC_HHDI","A","2009",2.33288167531253,
"SVK","HHSAV","TOT","PC_HHDI","A","2010",2.36195307566244,
"SVK","HHSAV","TOT","PC_HHDI","A","2011",0.758638365796711,
